iso3,name,population,gdp_per_capita,gdp_growth,military_expenditure,literacy_rate,human_capital_index,health_expenditure,tertiary_enrollment,science_investment,male_population_pct,life_expectancy
AFG,Afghanistan,42647492,413.757894705303,2.26694373649188,1.827933856217,37.2700004577637,0.400284141302109,14.9857626,,,50.4895809582425,66.289
ALB,Albania,2377128,11377.7757431099,4.04592845095348,2.03786228936679,97.6800003051758,0.634250938892365,7.05240345,84.1496200561523,0.19997,49.4318826978632,79.776
DZA,Algeria,46814308,5752.99076651465,3.69999999907979,7.97145723551219,,0.534556448459625,4.35082531,54.4283410150344,0.44395,50.9980495706569,76.475
ASM,American Samoa,46765,18017.4589383973,1.73501577287065,,,,,,,50.4693681171817,72.992
AND,Andorra,81938,49303.6491674336,3.37182032638998,,,,7.69928026,67.6767676767677,0.15818,51.1161013949742,84.188
AGO,Angola,37885849,2665.87444776753,4.42390664406875,1.00049213337543,68.1800003051758,0.362405389547348,2.54692864,9.9549065722902,,49.4840857334357,64.805
ATG,Antigua and Barbuda,93772,23542.4526945578,3.65638765956977,,,0.595703899860382,3.91348195,,,47.5973638186239,77.766
ARG,Argentina,45696159,13969.7836603737,-1.34293072157739,0.618350391157195,99.1399993896484,0.602144718170166,10.2695179,107.822574129434,0.60111,49.6337405513667,77.543
ARM,Armenia,3033500,8556.21406956719,5.90000000046228,5.48174920349075,99.8399963378906,0.578998804092407,9.32119179,52.7748065090859,0.2861,46.430742743389,78.319512195122
ABW,Aruba,107995,39498.5941293797,6.81077669324542,,,,,14.0655418559377,,47.2387244831862,76.5
AUS,Australia,27196812,64603.9856308464,1.37340773365975,1.8837883329175,,0.770239531993866,10.39852047,108.421989440918,1.85783,49.6183741336916,83.0512195121951
AUT,Austria,9177982,58268.8787651601,-0.659089573171372,0.999843177036641,,0.746739745140076,11.8325634,92.6126708984375,3.25517,49.2347995732398,81.9951219512195
AZE,Azerbaijan,10202830,7283.8499076179,4.07140205008956,4.99292395978321,99.7799987792969,0.577767550945282,4.27113533,41.3413783372226,0.20778,49.0184032876648,74.576
BHS,"Bahamas, The",401283,39455.4466548546,3.37866553336166,,,,6.30260801,,,47.7461043702325,74.71
BHR,Bahrain,1588670,29653.5682731534,2.60379670648454,2.8946654057963,97.8199996948242,0.652472019195557,3.99562383,58.3677241853667,0.19327,62.0410217989755,81.423
BGD,Bangladesh,173562364,2593.41611680774,4.22325911250161,0.941321120606305,79,0.46403643488884,2.17014575,23.7295608009814,,49.1717524658745,74.93
BRB,Barbados,282467,26544.8707282621,2.4822621396186,,,,5.40463829,50.801079116886,,47.9429455476215,76.332
BLR,Belarus,9132629,8317.63399913792,4.00984852465452,2.07364910790144,,0.700078189373016,7.08167362,70.1107509145358,0.5872,46.6000625393631,74.3653414634147
