iso3,name,population,gdp_per_capita,gdp_growth,military_expenditure,literacy_rate,human_capital_index,health_expenditure,tertiary_enrollment,science_investment,male_population_pct,life_expectancy
AFG,Afghanistan,42647492,0.0006752787111666763,0.4095732532688997,0.05112853644560488,0.025780398557962565,0.18494192239738452,0.5301850209594302,0,0,50.4895809582425,0.3657648609629026
ALB,Albania,2377128,0.03877362232930439,0.43485123937681497,0.057228786480220166,0.9639695648887181,0.5831874779619023,0.22225088984772184,0.5019052858007945,0.03058140635351273,49.4318826978632,0.7890590672274181
DZA,Algeria,46814308,0.01922832481342638,0.4299358657203065,0.2296514175289135,0,0.41349293951444555,0.1173888633792384,0.31905798540611047,0.06906527019779805,50.9980495706569,0.685456029125604
ASM,American Samoa,46765,0.061845541345419724,0.4020149715335232,0,0,0,0,0,0,50.4693681171817,0.5761408574477436
AND,Andorra,81938,0.17056043421853662,0.42527268838116683,0,0,0,0.2473594781086811,0.4005631940555621,0.023989715763904223,51.1161013949742,0.9275312284225724
AGO,Angola,37885849,0.008501051296820198,0.44022201487420554,0.027084145113417855,0.5058238857517411,0.1204667716835489,0.04737043320495915,0.04545443638368343,0,49.4840857334357,0.3191890025735989
ATG,Antigua and Barbuda,93772,0.08104407910052722,0.42931616837085423,0,0,0.5175748049981785,0.10041333699593136,0,0,47.5973638186239,0.7259745150963532
ARG,Argentina,45696159,0.0477804672339959,0.35827975104788173,0.015979598000776946,0.9866438791970252,0.528538015558346,0.3471235098964022,0.6475428856725425,0.09385469573172656,49.6337405513667,0.7189755821982301
ARM,Armenia,3033500,0.028969112006107498,0.46119615088199806,0.15730370702281085,0.9975150852053724,0.48914029970342926,0.3103141368210138,0.30888533031600274,0.04416700842297865,46.430742743389,0.7433466886925492
ABW,Aruba,107995,0.1364893152911913,0.47413757775342175,0,0,0,0,0.07074334011768003,0,47.2387244831862,0.6862406628585777
AUS,Australia,27196812,0.22372684493730838,0.39687680316289164,0.052751595639223145,0,0.8146598636505282,0.3521307575897235,0.6512305288378469,0.29208176914098244,49.6183741336916,0.891852975713863
AUT,Austria,9177982,0.20171328370786723,0.367996600725626,0.027065287277588935,0,0.7746598048061741,0.4077932777501071,0.5539705417231251,0.5124893529764346,49.2347995732398,0.8587069848477654
AZE,Azerbaijan,10202830,0.024547834357749633,0.435213199364355,0.1430990746864182,0.9965833014010175,0.4870445275739321,0.11429568881274856,0.23854611400604747,0.03181330641345153,49.0184032876648,0.6258552507689409
BHS,"Bahamas, The",401283,0.13633938418624045,0.4253699534365264,0,0,0,0.19314750464072272,0,0,47.7461043702325,0.6300608875776785
BHR,Bahrain,1588670,0.10227930367081269,0.41435967140204344,0.08212638211429125,0.966143806090387,0.6142024096661801,0.10360168230684322,0.3432933346627493,0.029524590681094042,62.0410217989755,0.8407507375557091
BGD,Bangladesh,173562364,0.008249269292351414,0.43737096985155244,0.025364711650893407,0.6738623979024909,0.29345760855223624,0.032745567538829776,0.13019703228953144,0,49.1717524658745,0.6369656644278453
BRB,Barbados,282467,0.09147703857897285,0.41263275994075044,0,0,0,0.15829271989385746,0.2967428271323572,0,47.9429455476215,0.6809679241729959
BLR,Belarus,9132629,0.0281400814783091,0.43433857174771967,0.05826870535985568,0,0.6952350428683655,0.2233870144320276,0.4155372220446035,0.0916606202088394,46.6000625393631,0.619243659011195
BEL,Belgium,11858610,0.19596479781863504,0.39257206860418903,0.03512065157075032,0,0.7979450232412367,0.3678584514708206,0.48958847890580137,0.5151992176409351,49.3105960142478,0.8682756889084174
BLZ,Belize,417072,0.025928720189466035,0.4271602984106831,0.024131597868874664,0.8117719698483105,0,0.1094912570052052,0.13684313190375552,0,50.456995434841,0.5995857133889901
BEN,Benin,14462724,0.004399008000532401,0.48326471381219777,0.018949376032118787,0.24491381592245903,0.18495313326151225,0.07804973244423376,0.047177652346665655,0,50.1466044709143,0.1985437197916013
BMU,Bermuda,64636,0.4956388712673348,0.46222678259384903,0,0,0,0,0.09086163691910107,0.034602037919177264,48.9185593167894,0.8742389052790156
BTN,Bhutan,791524,0.012550821166377653,0.4431810907476311,0,0.4550396541309517,0.31262478744379235,0.11989985374970921,0.06425732375377172,0.014779646045616584,53.4472063421875,0.5846149017638567
BOL,Bolivia,12413315,0.014600430684881276,0.36139973732416686,0.037840852679383766,0.9492157683792103,0,0.21705913108177227,0,0.008989242562856874,50.1011655547962,0.4426589667943006
BIH,Bosnia and Herzegovina,3164253,0.03175793686705336,0.41958469670328086,0.019720312412307466,0,0.4903067368517492,0.2948075822700927,0.26414722419000514,0.03285277138080066,47.5876763291925,0.7346996422070177
BWA,Botswana,2521139,0.02597913747821255,0.33487804478585476,0.08036143145966526,0,0.20833681453492162,0.19132858362706506,0.11591950005800551,0,49.8411828309279,0.46004645031699226
BRA,Brazil,211998573,0.03506516650639011,0.42594755303038423,0.02627870808300745,0.9183102626791433,0.44232981844842506,0.32621806833611033,0.4132057268336929,0.18734187198334334,49.1961415230847,0.6712698512334442
VGB,British Virgin Islands,39471,0,0,0,0,0,0,0.1660695497398788,0,47.3562868941755,0.7154604230745087
BRN,Brunei Darussalam,462721,0.1144409590709411,0.4349448588455313,0.10197786175775339,0,0.5698093153758628,0.035014735176628564,0.208258837252415,0,53.0988368826207,0.6548866988889588
BGR,Bulgaria,6441421,0.06038109409179888,0.4254896676129521,0.06047205826667951,0,0.548544081599669,0.25586971524340746,0.4120631035473909,0.12400233445850029,48.3903518481469,0.6630461242155578
BFA,Burkina Faso,23548781,0.0026498106075497447,0.44556330168478714,0.1339981186067431,0.09251577017205545,0.15669957435747778,0.251246888810084,0.04599004321476716,0.015565159784220324,49.8118607498197,0.20893227041616982
BDI,Burundi,14047786,0.0,0.43579395454111214,0.1084714118379073,0.5548606724959246,0.16091866386182113,0.3015233111484942,0.023489302465843843,0,49.6775363747711,0.2882116627958069
